Name1,Name2,Score,Comments,
A Singh,Akash Singh,1,Abreviated name,Assumed rest columns are matching
A Singh,Priyansh Singh,0,Different persons,
Akash Singh,Akash Singh,1,Exactly same,
Akash Singh,Akansh Singh,0,But there is also a possibility that these two guys are same and probably n was mistyped.,
Akashn Singh,Akash Singh,1,n can be a typo,
Singh Akash,Akash Singh,1,surname and name order is reversed,
Singh Akash,A Singh,1,order reversed and abreviated,
Aman S,Akash S,0,different persons with same surname,
A singh,A Singh,1,But maybe Aman Singh & Aditya Singh,
A S,A Singh,1,Abreviated name,
A S,Akansh Singh,1,Abreviated name,
Akansh Singh,S A,1,Abreviated name and reversed order,
Akansh Singh,A S,1,Abreviated name,
Akash Singh,Akash Sen,0,Different surname,
Akash SIngh,Aakash Singh,0,But maybe Aa was just a typo.,
Akash Pratap Singh,Akash Singh,1,Having a middle name,
Akash Pratap Singh,Pratap Akash Singh,1,Order of middle name ,
Akash Pratap Singh,Akash Prasad Singh,0,Different middle name,
Akash S,A Singh,1,Surname and name abreviated,
Akash SIngh,Priyansh Singh,0,Different persons,
Akash Singh,Aakash Sen,0,Different persons,
Akash Pratap Singh,A P S,1,Abreviated name,
Akash Pratap Singh,A Pratap Singh,1,Abreviated name,
Akash Pratap Singh,A P Singh,1,Abreviated name,
Aakash Pratap Singh,Pratap S Aakash,1,Abreviated name and reversed order,
Aakansh Pratap Singh,Aakash Pratap Singh,0,But maybe n was a typo,
Aman Gupta,Aman,1,No surname present,
Akash Pratap Singh,Akash Singh Pratap,1,Reversed order,
Akash Pratap Singh,Akash Singh,1,Missing middle name,
Akash Pratap Singh,Akash Pratap,1,Missing surname,
Vishal Kumar Mishra,Vishal kumar tripathi,0,Surname is different even tough middle name is same,
